inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;;inf-norm-Clever-5-samples;;inf-norm-Clever-20-samples;;inf-norm-Clever-100-samples;;inf-norm-Clever-1024-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;;2-norm-Clever-5-samples;;2-norm-Clever-20-samples;;2-norm-Clever-100-samples;;2-norm-Clever-1024-samples;1-norm-min-adv-dist;1-norm-PGD-dist;1-norm-sec-att-dist;1-norm-Clever-5-samples;1-norm-Clever-20-samples;1-norm-Clever-100-samples;;1-norm-Clever-1024-samples
0,0030000508;0,0030000508;0,0119241178;0;0,0027;0;0,0023;0;0,0023;0;0,0022;0,0887;0,0937;0,0887;0;0,0013;0;0,0018;0;0,0698;0;0,0661;1,7538;2,9295;1,7538;0,0011;0,0008;0,0025;0;0,0008
0,0030000508;0,0030000508;0,0151221752;1;0,0036;0;0,0025;0;0,0021;0;0,002;0,0895;0,0895;0,0956;0;0,0104;0;0,0029;0;0,0015;0;0,002;1,7765;3,1925;1,7765;0,0087;0,0363;0,0029;0;0,0011
0,0030000508;0,0030000508;0,018684566;0;0,0022;0;0,002;0;0,002;0;0,0019;0,0939;0,0939;0,1004;0;0,0917;0;0,0643;0;0,0014;0;0,0592;1,8508;5,8233;1,8508;2,4251;0,0108;0,0183;0;0,6836
0,0030000508;0,0030000508;0,0116746873;0;0,0028;0;0,003;0;0,0024;0;0,0025;0,0968;0,0968;0,0971;0;0,022;0;0,0071;0;0,0076;0;0,0071;1,8828;2,7337;1,8828;0,0022;0,001;0,0062;0;0,0037
0,0030000508;0,0030000508;0,0190359354;0;0,0029;0;0,0025;0;0,0024;0;0,0022;0,0987;0,0991;0,0987;1;0,102;0;0,0806;0;0,0714;0;0,0689;1,9009;3,7254;1,9009;0,7823;0,0461;0,0177;0;0,0163
0,0030004978;0,0030004978;0,0162109733;1;0,0035;0;0,0021;0;0,0023;0;0,0018;0,1005;0,1076;0,1005;0;0,0013;1;0,1174;0;0,0007;0;0,0881;1,9168;2,7825;1,9168;0,0233;0,0024;0,0024;0;0,0004
0,0030004978;0,0030004978;0,0185524374;0;0,0023;0;0,0024;0;0,002;0;0,0019;0,1007;0,1214;0,1007;1;0,1695;1;0,1296;0;0,037;0;0,0034;1,9612;4,09;1,9612;0,0205;0,0124;0,0015;0;0,0238
0,0030004978;0,0030004978;0,014351964;0;0,0026;0;0,0025;0;0,0024;0;0,0023;0,1017;0,1086;0,1017;0;0,0953;0;0,0739;0;0,065;0;0,0664;1,9983;3,3922;1,9983;0,0224;0,0019;0,0015;0;0,0056
0,0030004978;0,0030004978;0,0191426873;0;0,0029;1;0,0031;0;0,002;0;0,0018;0,1021;0,1169;0,1021;1;0,1417;1;0,1064;0;0,0653;0;0,0582;2,0228;3,3841;2,0228;0,0048;0,0692;0,0069;0;0,0066
0,0033000559;0,0033000559;0,0116069168;0;0,0023;0;0,0021;0;0,0019;0;0,0018;0,1035;0,1035;0,1157;0;0,001;0;0,0908;0;0,0013;0;0,0026;2,0401;4,177;2,0401;0,0029;0,0042;0,1128;0;0,0061
0,0033000559;0,0033000559;0,0137413144;0;0,0024;0;0,0023;0;0,0022;0;0,0021;0,104;0,104;0,1232;0;0,0013;0;0,0026;0;0,0011;0;0,0023;2,0708;3,9897;2,0708;0,0044;0,0137;0,005;0;0,0049
0,0033000559;0,0033000559;0,0189753771;0;0,0029;0;0,0026;0;0,0025;0;0,0024;0,1043;0,1043;0,1242;0;0,0102;0;0,0024;0;0,0022;0;0,0027;2,1048;2,5801;2,1048;0,0114;0,0122;0,0007;0;0,0087
0,0033000559;0,0033000559;0,0155116916;1;0,0038;0;0,0032;0;0,0025;0;0,0021;0,1086;0,1086;0,1106;0;0,0022;0;0,0026;0;0,0071;0;0,0983;2,1328;4,7131;2,1328;0,0093;0,0003;0,0041;0;0,0021
